No of Trainings | Percentage0th training :=  Win Percent :81.8 | Draw Percent :10.6 | Lost Percent :7.6
1th training :=  Win Percent :81.5 | Draw Percent :12.4 | Lost Percent :6.1
26th training :=  Win Percent :83.6 | Draw Percent :10.2 | Lost Percent :6.2
27th training :=  Win Percent :87.9 | Draw Percent :7.8 | Lost Percent :4.3
28th training :=  Win Percent :89.5 | Draw Percent :7 | Lost Percent :3.5
29th training :=  Win Percent :88.2 | Draw Percent :8 | Lost Percent :3.8
30th training :=  Win Percent :88.9 | Draw Percent :7.6 | Lost Percent :3.5
31th training :=  Win Percent :87.9 | Draw Percent :7.8 | Lost Percent :4.3
32th training :=  Win Percent :88.7 | Draw Percent :7.5 | Lost Percent :3.8
33th training :=  Win Percent :88.9 | Draw Percent :7.3 | Lost Percent :3.8
34th training :=  Win Percent :90 | Draw Percent :6.7 | Lost Percent :3.3
35th training :=  Win Percent :88.3 | Draw Percent :7.5 | Lost Percent :4.2
36th training :=  Win Percent :91.9 | Draw Percent :6.3 | Lost Percent :1.8
37th training :=  Win Percent :92.3 | Draw Percent :5 | Lost Percent :2.7
38th training :=  Win Percent :92.3 | Draw Percent :5.2 | Lost Percent :2.5
39th training :=  Win Percent :91.6 | Draw Percent :6.3 | Lost Percent :2.1
40th training :=  Win Percent :92.7 | Draw Percent :4.8 | Lost Percent :2.5
41th training :=  Win Percent :93.6 | Draw Percent :3.7 | Lost Percent :2.7
42th training :=  Win Percent :96.1 | Draw Percent :2.9 | Lost Percent :1
43th training :=  Win Percent :93.4 | Draw Percent :3.8 | Lost Percent :2.8
44th training :=  Win Percent :92.9 | Draw Percent :4.2 | Lost Percent :2.9
45th training :=  Win Percent :93.3 | Draw Percent :4 | Lost Percent :2.7
46th training :=  Win Percent :94.4 | Draw Percent :3.4 | Lost Percent :2.2
47th training :=  Win Percent :92.9 | Draw Percent :4.5 | Lost Percent :2.6
48th training :=  Win Percent :93 | Draw Percent :3.7 | Lost Percent :3.3
49th training :=  Win Percent :93.9 | Draw Percent :3.6 | Lost Percent :2.5
50th training :=  Win Percent :93.6 | Draw Percent :4.2 | Lost Percent :2.2
51th training :=  Win Percent :93.4 | Draw Percent :4.3 | Lost Percent :2.3
52th training :=  Win Percent :93.9 | Draw Percent :2.9 | Lost Percent :3.2
53th training :=  Win Percent :92.5 | Draw Percent :4.1 | Lost Percent :3.4
54th training :=  Win Percent :93.4 | Draw Percent :3.9 | Lost Percent :2.7
55th training :=  Win Percent :93.3 | Draw Percent :3.9 | Lost Percent :2.8
56th training :=  Win Percent :93.1 | Draw Percent :4.3 | Lost Percent :2.6
57th training :=  Win Percent :93.9 | Draw Percent :3.2 | Lost Percent :2.9
58th training :=  Win Percent :95.4 | Draw Percent :2.9 | Lost Percent :1.7
59th training :=  Win Percent :94.9 | Draw Percent :3.6 | Lost Percent :1.5
60th training :=  Win Percent :95.5 | Draw Percent :2.8 | Lost Percent :1.7
61th training :=  Win Percent :94.9 | Draw Percent :3.1 | Lost Percent :2
62th training :=  Win Percent :94.2 | Draw Percent :3.5 | Lost Percent :2.3
63th training :=  Win Percent :94.9 | Draw Percent :2.8 | Lost Percent :2.3
64th training :=  Win Percent :93.8 | Draw Percent :3.4 | Lost Percent :2.8
65th training :=  Win Percent :94.4 | Draw Percent :3.1 | Lost Percent :2.5
66th training :=  Win Percent :95.2 | Draw Percent :2.9 | Lost Percent :1.9
67th training :=  Win Percent :94.2 | Draw Percent :3.7 | Lost Percent :2.1
68th training :=  Win Percent :94.3 | Draw Percent :3.3 | Lost Percent :2.4
69th training :=  Win Percent :94.8 | Draw Percent :2.9 | Lost Percent :2.3
70th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
71th training :=  Win Percent :96.2 | Draw Percent :2 | Lost Percent :1.8
72th training :=  Win Percent :94.9 | Draw Percent :3.9 | Lost Percent :1.2
73th training :=  Win Percent :95 | Draw Percent :2.3 | Lost Percent :2.7
74th training :=  Win Percent :94 | Draw Percent :4 | Lost Percent :2
75th training :=  Win Percent :95.3 | Draw Percent :3.2 | Lost Percent :1.5
76th training :=  Win Percent :96 | Draw Percent :1.9 | Lost Percent :2.1
77th training :=  Win Percent :94.1 | Draw Percent :3.5 | Lost Percent :2.4
78th training :=  Win Percent :94.5 | Draw Percent :2.9 | Lost Percent :2.6
79th training :=  Win Percent :95.4 | Draw Percent :2.8 | Lost Percent :1.8
80th training :=  Win Percent :95.2 | Draw Percent :2.7 | Lost Percent :2.1
81th training :=  Win Percent :95.7 | Draw Percent :2.7 | Lost Percent :1.6
82th training :=  Win Percent :94.8 | Draw Percent :3.1 | Lost Percent :2.1
83th training :=  Win Percent :95.9 | Draw Percent :2.8 | Lost Percent :1.3
84th training :=  Win Percent :95.5 | Draw Percent :1.9 | Lost Percent :2.6
85th training :=  Win Percent :96.1 | Draw Percent :1.7 | Lost Percent :2.2
86th training :=  Win Percent :97.2 | Draw Percent :1.4 | Lost Percent :1.4
87th training :=  Win Percent :96.4 | Draw Percent :1.9 | Lost Percent :1.7
88th training :=  Win Percent :95.8 | Draw Percent :2.3 | Lost Percent :1.9
89th training :=  Win Percent :95.3 | Draw Percent :2.1 | Lost Percent :2.6
90th training :=  Win Percent :95.8 | Draw Percent :2.5 | Lost Percent :1.7
91th training :=  Win Percent :96.1 | Draw Percent :1.6 | Lost Percent :2.3
92th training :=  Win Percent :95.9 | Draw Percent :1.9 | Lost Percent :2.2
93th training :=  Win Percent :97.2 | Draw Percent :1 | Lost Percent :1.8
94th training :=  Win Percent :96.2 | Draw Percent :2 | Lost Percent :1.8
95th training :=  Win Percent :96.2 | Draw Percent :2.1 | Lost Percent :1.7
96th training :=  Win Percent :96.5 | Draw Percent :1.7 | Lost Percent :1.8
97th training :=  Win Percent :96 | Draw Percent :2.3 | Lost Percent :1.7
98th training :=  Win Percent :95.9 | Draw Percent :2 | Lost Percent :2.1
99th training :=  Win Percent :96.5 | Draw Percent :1.7 | Lost Percent :1.8
