No of Trainings | Percentage0th training :=  Win Percent :85 | Draw Percent :8 | Lost Percent :7
1th training :=  Win Percent :83 | Draw Percent :9 | Lost Percent :8
62th training :=  Win Percent :92 | Draw Percent :6 | Lost Percent :2
63th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
64th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
65th training :=  Win Percent :98 | Draw Percent :2 | Lost Percent :0
66th training :=  Win Percent :93 | Draw Percent :4 | Lost Percent :3
67th training :=  Win Percent :98 | Draw Percent :2 | Lost Percent :0
68th training :=  Win Percent :92 | Draw Percent :7 | Lost Percent :1
69th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
70th training :=  Win Percent :95 | Draw Percent :1 | Lost Percent :4
71th training :=  Win Percent :97 | Draw Percent :3 | Lost Percent :0
72th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
73th training :=  Win Percent :98 | Draw Percent :2 | Lost Percent :0
74th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
75th training :=  Win Percent :89 | Draw Percent :8 | Lost Percent :3
76th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
77th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
78th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
79th training :=  Win Percent :94 | Draw Percent :4 | Lost Percent :2
80th training :=  Win Percent :94 | Draw Percent :5 | Lost Percent :1
81th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
82th training :=  Win Percent :93 | Draw Percent :4 | Lost Percent :3
83th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
84th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
85th training :=  Win Percent :95 | Draw Percent :2 | Lost Percent :3
86th training :=  Win Percent :89 | Draw Percent :9 | Lost Percent :2
87th training :=  Win Percent :95 | Draw Percent :4 | Lost Percent :1
88th training :=  Win Percent :96 | Draw Percent :4 | Lost Percent :0
89th training :=  Win Percent :94 | Draw Percent :5 | Lost Percent :1
90th training :=  Win Percent :93 | Draw Percent :7 | Lost Percent :0
91th training :=  Win Percent :88 | Draw Percent :9 | Lost Percent :3
92th training :=  Win Percent :93 | Draw Percent :4 | Lost Percent :3
93th training :=  Win Percent :92 | Draw Percent :5 | Lost Percent :3
94th training :=  Win Percent :90 | Draw Percent :7 | Lost Percent :3
95th training :=  Win Percent :93 | Draw Percent :4 | Lost Percent :3
96th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
97th training :=  Win Percent :97 | Draw Percent :3 | Lost Percent :0
98th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
99th training :=  Win Percent :96 | Draw Percent :4 | Lost Percent :0
